det_ID,det_name,n_ele,cell_spacing,cell_width,angle_from_vert,xoffset,width,height,x0,y0,z0,theta_x,theta_y,theta_z
5,D0V,201,0.635,0.635,-0.244974,0.159,101.6,121.92,0.635,2.982,600.71,-0.00368,0.005442,0.002917
6,D0Vp,201,0.635,0.635,-0.244974,-0.159,101.6,121.92,0.635,2.982,601.345,-0.00368,0.005442,0.002917
4,D0Xp,160,0.635,0.635,0,-0.159,101.6,121.92,0.884,2.771,624.408,0.0132,0.004017,-0.00009
3,D0X,160,0.635,0.635,0,0.159,101.6,121.92,0.884,2.771,625.043,0.0132,0.004017,-0.00009
1,D0U,201,0.635,0.635,0.244974,0.159,101.6,121.92,1.016,2.672,646.791,-0.00072,0.006876,0.00008
2,D0Up,201,0.635,0.635,0.244974,-0.159,101.6,121.92,1.016,2.672,647.426,-0.00072,0.006876,0.00008
33,H1L,20,7.0025,7.32,1.5708,0,78.74,140.117,40.767,0.104,663.415,-0.00041,0.003,-0.00069
34,H1R,20,7.0025,7.32,1.5708,0,78.74,140.117,-37.973,0.104,663.415,-0.00041,0.003,-0.00069
31,H1B,23,7.0025,7.32,0,0,162.008,69.85,0.693,-37.032,676.587,0.00297,0.001116,-0.000563
32,H1T,23,7.0025,7.32,0,0,162.008,69.85,0.693,37.009,676.587,0.00297,0.001116,-0.000563
7,D1V,384,0.5,0.5,-0.244974,0,152.4,137.16,0.349,-0.173,688.614,0.000355,0.0021,0.00187
8,D1Vp,384,0.5,0.5,-0.244974,-0.25,152.4,137.16,0.349,-0.173,689.214,0.000355,0.0021,0.00187
9,D1X,320,0.5,0.5,0,0,152.4,137.16,0.349,-0.173,689.814,0.000355,0.0021,0.00187
10,D1Xp,320,0.5,0.5,0,-0.25,152.4,137.16,0.349,-0.173,690.414,0.000355,0.0021,0.00187
11,D1U,384,0.5,0.5,0.244974,0,152.4,137.16,0.349,-0.173,691.014,0.000355,0.0021,0.00187
12,D1Up,384,0.5,0.5,0.244974,-0.25,152.4,137.16,0.349,-0.173,691.614,0.000355,0.0021,0.00187
55,DP1TL,80,1.1,1.1,1.5708,0,80,88,38.987,51.81,799.018,-0.00034,-0.000164,0.00334
56,DP1TR,80,1.1,1.1,1.5708,0,80,88,-41.013,51.81,799.018,-0.00034,-0.000164,0.00334
57,DP1BL,80,1.1,1.1,1.5708,0,80,88,38.987,-51.445,799.018,-0.00034,-0.000164,0.00334
58,DP1BR,80,1.1,1.1,1.5708,0,80,88,-41.013,-51.445,799.018,-0.00034,-0.000164,0.00334
13,D2V,128,2.021,2.021,-0.244974,-0.505,233.274,264.16,-2.443,-0.549,1315.83,-0.00117,0.005409,-0.001055
14,D2Vp,128,2.021,2.021,-0.244974,0.505,233.274,264.16,-2.443,-0.549,1322.81,-0.00117,0.005409,-0.001055
15,D2Xp,112,2.083,2.083,0,-0.521,233.274,264.16,-0.82,0.201,1341.14,-0.00061,-0.002685,0.00318
